terrace_id,terrace_lat,terrace_lon,date,time_slot,is_sunlit,sun_altitude,sun_azimuth,h_terrace,distance_to_obstacle,obstruction_height,ray_height_at_obstacle,obstruction_lat,obstruction_lon
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,10:00,True,35.357086953241534,103.21921640672468,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,10:30,True,40.085240586318896,109.95548249544726,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,11:00,True,44.60475030737172,117.40833391165029,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,11:30,True,48.80975189249294,125.79976160017071,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,12:00,True,52.56177182559658,135.36705483240502,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,12:30,True,55.684786153676775,146.30564172221682,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,13:00,True,57.97310454393976,158.65188314285047,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,13:30,True,59.225548641811855,172.12931806785764,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,14:00,True,59.307801477076616,186.08576401739302,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,14:30,False,58.21051159362405,199.67435741709744,35.3173828125,9.0,53.14013671875,49.83884479907304,48.85557320996654,2.3572197810987614
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,15:00,True,56.05386140720118,212.19978364502478,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,15:30,True,53.03417229271084,223.33393762866473,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,16:00,False,49.35936182048161,233.0795135766043,35.3173828125,11.0,50.39404296875,48.132895963786424,48.855589576170864,2.3571410199853733
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,16:30,False,45.210482417674,241.61862184167592,35.3173828125,10.0,48.84814453125,45.39112627315609,48.85560625221731,2.3571407616037443
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,17:00,False,40.73105164517668,249.18739395964042,35.3173828125,11.0,48.87158203125,44.78925228666422,48.85561374206144,2.357120441076385
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,17:30,False,36.03096079838596,256.0115667833626,35.3173828125,11.0,46.25537109375,43.31843588337053,48.855624949619596,2.357114966104882
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,18:00,False,31.194634347204143,262.2844671732845,35.3173828125,13.0,55.10498046875,43.1887988046429,48.85563300449988,2.3570847667004644
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,18:30,False,26.288882461771703,268.165134241719,35.3173828125,16.0,51.74853515625,43.22121277262932,48.855643865160545,2.3570422533171214
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,19:00,False,21.3692786033536,273.7835661808531,35.3173828125,20.0,53.56005859375,43.14292892894523,48.855660050376656,2.3569880196541018
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,19:30,False,16.485327235623387,279.24731175618507,35.3173828125,27.0,51.27099609375,43.307626685176245,48.855686710237244,2.3568964754382344
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,20:00,True,11.685607149932688,284.6472982033304,35.3173828125,,,,,
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,20:30,False,7.027192639299825,290.06230862517305,35.3173828125,79.0,50.8046875,45.05542408420752,48.855887917554824,2.3562458294451316
"21 RUE FRANCOIS MIRON, 75004",48.855649643100065,2.3572601351159532,2025-05-12,21:00,False,2.6188157524750615,295.5620384899125,35.3173828125,3.0,37.64990234375,35.45459925210404,48.855661085996246,2.357223108876037
"13 RUE DE SUEZ, 75018",48.887410423519945,2.3520834814909537,2025-05-12,10:00,False,35.357086953241534,103.21921640672468,63.9775390625,6.0,73.583984375,68.23475729237202,48.887398515998676,2.3521632857383774
"13 RUE DE SUEZ, 75018",48.887410423519945,2.3520834814909537,2025-05-12,10:30,False,40.085240586318896,109.95548249544726,63.9775390625,5.0,71.2919921875,68.18572917793712,48.8873954247857,2.352147760911649
"13 RUE DE SUEZ, 75018",48.887410423519945,2.3520834814909537,2025-05-12,11:00,False,44.60475030737172,117.40833391165029,63.9775390625,4.0,75.615234375,67.92272902704698,48.88739412721963,2.352132110488044
"13 RUE DE SUEZ, 75018",48.887410423519945,2.3520834814909537,2025-05-12,11:30,False,48.80975189249294,125.79976160017071,63.9775390625,4.0,80.166015625,68.54827171016773,48.887389621735196,2.352127983571474
